"","Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual","region","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k","death_case_ratio","location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"72","Montenegro","Central and Eastern Europe",5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,"Montenegro","Montenegro",47047.584,670.156,7490.91395435482,106.702204559422,0.0142442170888095,"Montenegro",0,0,0,0
"73","Dominican Republic","Latin America and Caribbean",5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,"Dominican Republic","Dominican Republic",167681.142,2406.279,1545.74692032673,22.1819717431128,0.0143503256913649,"Dominican Republic",0,0,0,0
"74","North Cyprus","Western Europe",5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653,"North Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Belarus","Commonwealth of Independent States",5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,"Belarus","Belarus",188615.282,1394.849,1996.07233154636,14.7613675098983,0.0073952067150105,"Belarus",0,NA,0,NA
"76","Russia","Commonwealth of Independent States",5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,"Russia","Russia",3046284.864,54604.711,2087.43353968624,37.4172837587504,0.0179250179933271,"Russia",52000,NA,0.04,NA
"77","Hong Kong S.A.R. of China","East Asia",5.477,0.049,5.573,5.38,11,0.836,76.82,0.717,0.067,0.403,2.43,1.525,0.841,0.893,0.408,0.232,0.342,1.236,"Hong Kong S.A.R. of China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Tajikistan","Commonwealth of Independent States",5.466,0.034,5.532,5.4,8.091,0.86,64.281,0.832,-0.056,0.553,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619,"Tajikistan","Tajikistan",13163.579,88.8990000000002,138.017122051761,0.932085729365808,0.00675340650137779,"Tajikistan",0,0,0,0
"79","Vietnam","Southeast Asia",5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211,"Vietnam","Vietnam",1433.439,35.002,1.47263187507055,0.0359590194568582,0.0244181998675911,"Vietnam",0,0,0,0
"80","Libya","Middle East and North Africa",5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,"Libya","Libya",98879.293,1441.008,1439.02143805083,20.9714424677648,0.0145734051718998,"Libya",0,0,0,0
"81","Malaysia","Southeast Asia",5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,"Malaysia","Malaysia",107028.856,456.871,330.683008755052,1.41157705070611,0.00426867124507058,"Malaysia",0,0,0,0
"82","Indonesia","Southeast Asia",5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,"Indonesia","Indonesia",720707.138,21473.573,263.489908244524,7.85071977385091,0.0297951440575298,"Indonesia",0,0,0,0
"83","Congo (Brazzaville)","Sub-Saharan Africa",5.342,0.097,5.533,5.151,8.117,0.636,58.221,0.695,-0.068,0.745,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476,"Congo (Brazzaville)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","China","East Asia",5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,"China","China",17560.291,2090.168,1.22003758412178,0.145218750482475,0.119028095832808,NA,NA,NA,NA,NA
"85","Ivory Coast","Sub-Saharan Africa",5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,"Ivory Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Armenia","Commonwealth of Independent States",5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,"Armenia","Armenia",158067.431,2779.282,5334.28784226963,93.7921878596156,0.0175828884066573,"Armenia",0,0,0,0
"87","Nepal","South Asia",5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,"Nepal","Nepal",258873.426,1833.573,888.47558730524,6.29297828368846,0.00708289386180565,"Nepal",0,0,0,0
"88","Bulgaria","Central and Eastern Europe",5.266,0.054,5.371,5.16,10.016,0.931,67,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,"Bulgaria","Bulgaria",199002.718,7300.722,2863.98925227155,105.069868150356,0.0366865441506181,"Bulgaria",4608,NA,0.07,NA
"89","Maldives","South Asia",5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,"Maldives","Maldives",13665.862,48.0270000000001,2528.17764392036,8.88497101057828,0.00351437765140611,"Maldives",0,0,0,0
"90","Azerbaijan","Commonwealth of Independent States",5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,"Azerbaijan","Azerbaijan",215436.002,2533.153,2124.78827912527,24.9838177169247,0.0117582622054043,"Azerbaijan",0,0,0,0
"91","Cameroon","Sub-Saharan Africa",5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,"Cameroon","Cameroon",26275.866,448.007,98.9828999349955,1.68767157098371,0.0170501326197964,"Cameroon",0,0,0,0
"92","Senegal","Sub-Saharan Africa",5.132,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071,"Senegal","Senegal",18729.284,394.013,111.857156593464,2.35316917832313,0.02103726976429,"Senegal",0,0,0,0
"93","Albania","Central and Eastern Europe",5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,"Albania","Albania",56724.288,1159.445,1971.09903398429,40.2892834804365,0.0204400097538465,"Albania",0,0,0,0
"94","North Macedonia","Central and Eastern Europe",5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,"North Macedonia","North Macedonia",82037.857,2456.157,3937.72893087195,117.892895199148,0.0299393120422441,"North Macedonia",0,0,0,0
"95","Ghana","Sub-Saharan Africa",5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,"Ghana","Ghana",54489.571,333.878,175.360175870037,1.07449744464195,0.00612737435572763,"Ghana",0,0,0,0
"96","Niger","Sub-Saharan Africa",5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,"Niger","Niger",3151.428,98.299,13.0188597870435,0.406082860914668,0.0311918914219205,"Niger",0,0,0,0
"97","Turkmenistan","Commonwealth of Independent States",5.066,0.036,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,"Turkmenistan",NA,NA,NA,NA,NA,NA,"Turkmenistan",0,0,0,0
"98","Gambia","Sub-Saharan Africa",5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,"Gambia","Gambia",3793.439,123.447,156.970062863517,5.10815736072537,0.0325422393769875,"Gambia",0,0,0,0
"99","Benin","Sub-Saharan Africa",5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,"Benin","Benin",3216.993,44.011,26.5358447498754,0.363031272771425,0.0136807882392035,"Benin",0,0,0,0
"100","Laos","Southeast Asia",5.03,0.045,5.119,4.941,8.947,0.728,58.968,0.91,0.123,0.658,2.43,0.808,0.598,0.33,0.643,0.268,0.179,2.204,"Laos","Laos",37.436,0,0.51454486777368,0,0,"Laos",0,0,0,0
"101","Bangladesh","South Asia",5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,"Bangladesh","Bangladesh",510263.434,7479.414,309.833836708223,4.54152773163283,0.0146579462717291,"Bangladesh",0,0,0,0
"102","Guinea","Sub-Saharan Africa",4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,"Guinea","Guinea",13680.863,80.1690000000001,104.173301457908,0.610449019523037,0.00585993734459589,"Guinea",0,0,0,0
"103","South Africa","Sub-Saharan Africa",4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,"South Africa","South Africa",1016045.429,27239.006,1713.1476500324,45.9275124775139,0.0268088465560136,"South Africa",0,0,0,0
"104","Turkey","Middle East and North Africa",4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,"Turkey","Turkey",1340127.421,20131.284,1588.97586690163,23.8694649064591,0.0150219178300061,"Turkey",0,0,0,0
"105","Pakistan","South Asia",4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,"Pakistan","Pakistan",475475.71,9991.291,215.252248843352,4.52314978739574,0.0210132521806424,"Pakistan",0,0,0,0
"106","Morocco","Middle East and North Africa",4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,"Morocco","Morocco",433652.859,7277.563,1174.87483933459,19.7167515050843,0.0167820016609184,"Morocco",0,0,0,0
"107","Venezuela","Latin America and Caribbean",4.892,0.064,5.017,4.767,9.073,0.861,66.7,0.615,-0.169,0.827,2.43,0.852,0.897,0.574,0.284,0.078,0.072,2.135,"Venezuela","Venezuela",112564.005,1018.434,395.851141634374,3.58150246679,0.00904759918590317,"Venezuela",0,0,0,0
"108","Georgia","Commonwealth of Independent States",4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,"Georgia","Georgia",222920.149,2412.737,5588.1265925912,60.4821046958331,0.0108233240055837,"Georgia",0,0,0,0
"109","Algeria","Middle East and North Africa",4.887,0.053,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,2.43,0.946,0.765,0.552,0.119,0.144,0.12,2.242,"Algeria","Algeria",98583.134,2736.424,224.813658366119,6.24027118351552,0.0277575269619649,"Algeria",0,0,0,0
"110","Ukraine","Commonwealth of Independent States",4.875,0.052,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,0.924,2.43,0.979,0.958,0.517,0.417,0.181,0.01,1.813,"Ukraine","Ukraine",1062998.146,18687.285,2430.61234686001,42.729656510889,0.01757979077416,"Ukraine",0,0,0,0
"111","Iraq","Middle East and North Africa",4.854,0.059,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875,2.43,0.91,0.638,0.381,0.302,0.153,0.041,2.429,"Iraq","Iraq",592583.849,12787.716,1473.26447834437,31.7924421560737,0.0215795891527918,"Iraq",0,0,0,0
"112","Gabon","Sub-Saharan Africa",4.852,0.075,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,"Gabon","Gabon",9521.131,64.0280000000001,427.776035526353,2.87672168387153,0.00672483132518606,"Gabon",0,0,0,0
"113","Burkina Faso","Sub-Saharan Africa",4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133,"Burkina Faso","Burkina Faso",6420.426,80.1530000000001,30.7149242334145,0.383447036393048,0.0124840625840092,"Burkina Faso",0,0,0,0
"114","Cambodia","Southeast Asia",4.83,0.067,4.963,4.698,8.36,0.765,62,0.959,0.034,0.843,2.43,0.603,0.68,0.426,0.702,0.21,0.061,2.148,"Cambodia","Cambodia",365.157999999999,0,2.1840937459608,0,0,"Cambodia",0,0,0,0
"115","Mozambique","Sub-Saharan Africa",4.794,0.103,4.997,4.592,7.158,0.744,54.706,0.882,0.061,0.684,2.43,0.183,0.634,0.196,0.608,0.228,0.163,2.783,"Mozambique","Mozambique",18332.425,161.575,58.6535589730234,0.516950092039993,0.00881361849291624,"Mozambique",0,0,0,0
"116","Nigeria","Sub-Saharan Africa",4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,"Nigeria","Nigeria",85040.842,1263.577,41.2540081396399,0.612971539522879,0.0148584723561415,"Nigeria",0,0,0,0
"117","Mali","Sub-Saharan Africa",4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,"Mali","Mali",6750.852,257.431,33.3361677844972,1.27121184243572,0.0381331126797033,"Mali",0,0,0,0
"118","Iran","Middle East and North Africa",4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,"Iran","Iran",1206545.141,54803.865,1436.48377382326,65.2481702839999,0.0454221422288252,"Iran",0,0,0,0
"119","Uganda","Sub-Saharan Africa",4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,"Uganda","Uganda",34120.996,248.294,74.596086661857,0.542825911108197,0.00727686847124861,"Uganda",0,0,0,0
"120","Liberia","Sub-Saharan Africa",4.625,0.106,4.833,4.417,7.288,0.72,56.498,0.735,0.05,0.85,2.43,0.228,0.58,0.253,0.43,0.221,0.057,2.857,"Liberia","Liberia",1777.859,83.016,35.1516911815445,1.6413859564381,0.0466943666511236,"Liberia",0,0,0,0
"121","Kenya","Sub-Saharan Africa",4.607,0.072,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,"Kenya","Kenya",96044.004,1661.714,178.615737391508,3.09033629464045,0.0173015902169176,"Kenya",0,0,0,0
"122","Tunisia","Middle East and North Africa",4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,"Tunisia","Tunisia",133536.565,4523.011,1129.88307939219,38.2702190729914,0.0338709551200452,"Tunisia",0,0,0,0
"123","Lebanon","Middle East and North Africa",4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,"Lebanon","Lebanon",173741.57,1414.739,2545.4991779287,20.7274342086564,0.00814277780498933,"Lebanon",0,0,0,0
"124","Namibia","Sub-Saharan Africa",4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,"Namibia","Namibia",22426.43,193.426,882.612018657838,7.61245157258247,0.00862491265885832,"Namibia",0,0,0,0
"125","Palestinian Territories","Middle East and North Africa",4.517,0.067,4.649,4.384,8.485,0.826,62.25,0.653,-0.163,0.821,2.43,0.646,0.819,0.434,0.33,0.082,0.075,2.131,"Palestinian Territories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Myanmar","Southeast Asia",4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,"Myanmar","Myanmar",122530.567,2618.863,225.199468683892,4.81321984053092,0.0213731403038394,"Myanmar",0,0,0,0
"127","Jordan","Middle East and North Africa",4.395,0.062,4.516,4.273,9.182,0.767,67,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,"Jordan","Jordan",289757.863,3775.149,2839.88912236821,36.9998745484233,0.0130286334973419,"Jordan",0,0,0,0
"128","Chad","Sub-Saharan Africa",4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0,0.24,0.215,0.084,3.209,"Chad","Chad",2030,103.592,12.3585621914811,0.630664125389121,0.0510305418719212,"Chad",0,0,0,0
"129","Sri Lanka","South Asia",4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,"Sri Lanka","Sri Lanka",41552.714,193.72,194.05141209298,0.904673508225047,0.00466203001806332,"Sri Lanka",0,0,0,0
"130","Swaziland","Sub-Saharan Africa",4.308,0.071,4.448,4.168,9.065,0.77,50.833,0.647,-0.185,0.708,2.43,0.849,0.693,0.074,0.323,0.067,0.147,2.155,"Swaziland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Comoros","Sub-Saharan Africa",4.289,0.084,4.454,4.123,8.031,0.626,57.349,0.548,0.082,0.781,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,"Comoros","Comoros",743.142,8.00599999999999,85.4584030496955,0.920658467447491,0.0107731765934371,"Comoros",0,0,0,0
"132","Egypt","Middle East and North Africa",4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,"Egypt","Egypt",133973.433,7465.573,130.917295721166,7.29527195267851,0.0557242793054351,"Egypt",0,0,0,0
"133","Ethiopia","Sub-Saharan Africa",4.275,0.051,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,"Ethiopia","Ethiopia",123113.855,1910.44,107.089438052744,1.66177840855917,0.0155176685840924,"Ethiopia",0,0,0,0
"134","Mauritania","Sub-Saharan Africa",4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,"Mauritania","Mauritania",13819.856,329.873,297.222936730858,7.09456175290237,0.0238694961799891,"Mauritania",0,0,0,0
"135","Madagascar","Sub-Saharan Africa",4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,"Madagascar","Madagascar",17685.437,260.712,63.8670501796991,0.941503813926095,0.0147416204643402,"Madagascar",0,0,0,0
"136","Togo","Sub-Saharan Africa",4.107,0.077,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806,"Togo","Togo",3582.147,68.0240000000001,43.2692450551334,0.82167122835283,0.018989728785558,"Togo",0,0,0,0
"137","Zambia","Sub-Saharan Africa",4.073,0.069,4.209,3.938,8.145,0.708,55.809,0.782,0.061,0.823,2.43,0.528,0.552,0.231,0.487,0.227,0.074,1.975,"Zambia","Zambia",20053.14,384.153999999999,109.07956916346,2.08961553215206,0.0191568003813866,"Zambia",0,0,0,0
"138","Sierra Leone","Sub-Saharan Africa",3.849,0.077,4.001,3.698,7.434,0.63,51.651,0.717,0.084,0.866,2.43,0.279,0.377,0.1,0.408,0.243,0.047,2.396,"Sierra Leone","Sierra Leone",2567.144,76.0170000000001,32.1818832553904,0.952954029623973,0.0296115060160241,"Sierra Leone",0,0,0,0
"139","India","South Asia",3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,"India","India",10223903.002,148133.436,740.86018226674,10.7342728479808,0.0144889320615642,"India",0,0,0,0
"140","Burundi","Sub-Saharan Africa",3.775,0.107,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,0.607,2.43,0,0.062,0.155,0.298,0.172,0.212,2.876,"Burundi","Burundi",800.423,2.002,6.73145859805172,0.0168365728037545,0.00250117750239561,"Burundi",0,0,0,0
"141","Yemen","Middle East and North Africa",3.658,0.07,3.794,3.521,7.578,0.832,57.122,0.602,-0.147,0.8,2.43,0.329,0.831,0.272,0.268,0.092,0.089,1.776,"Yemen","Yemen",2094.423,608.157999999999,7.02214593672199,2.03902183493257,0.290370187875133,"Yemen",0,0,0,0
"142","Tanzania","Sub-Saharan Africa",3.623,0.071,3.762,3.485,7.876,0.702,57.999,0.833,0.183,0.577,2.43,0.433,0.54,0.3,0.549,0.307,0.231,1.263,"Tanzania","Tanzania",506.571,21,0.848041640726061,0.0351557322769114,0.0414551958165785,"Tanzania",0,0,0,0
"143","Haiti","Latin America and Caribbean",3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,"Haiti","Haiti",9919.572,235.578,86.9944599151786,2.06601463025802,0.0237488069041688,"Haiti",0,0,0,0
"144","Malawi","Sub-Saharan Africa",3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,"Malawi","Malawi",6405.142,188.16,33.4822638108663,0.983588304311222,0.029376397900312,"Malawi",0,0,0,0
"145","Lesotho","Sub-Saharan Africa",3.512,0.12,3.748,3.276,7.926,0.787,48.7,0.715,-0.131,0.915,2.43,0.451,0.731,0.007,0.405,0.103,0.015,1.8,"Lesotho","Lesotho",2902.715,51.012,135.498298052704,2.38123246004672,0.0175738920286697,"Lesotho",0,0,0,0
"146","Botswana","Sub-Saharan Africa",3.467,0.074,3.611,3.322,9.782,0.784,59.269,0.824,-0.246,0.801,2.43,1.099,0.724,0.34,0.539,0.027,0.088,0.648,"Botswana","Botswana",14230.158,39.746,605.120204114176,1.6901504278956,0.00279308212881403,"Botswana",0,0,0,0
"147","Rwanda","Sub-Saharan Africa",3.415,0.068,3.548,3.282,7.676,0.552,61.4,0.897,0.061,0.167,2.43,0.364,0.202,0.407,0.627,0.227,0.493,1.095,"Rwanda","Rwanda",8041.427,78.156,62.0853709201264,0.603418304939335,0.0097191704905112,"Rwanda",0,0,0,0
"148","Zimbabwe","Sub-Saharan Africa",3.145,0.058,3.259,3.03,7.943,0.75,56.201,0.677,-0.047,0.821,2.43,0.457,0.649,0.243,0.359,0.157,0.075,1.205,"Zimbabwe","Zimbabwe",13267.428,352.164,89.2652436495178,2.36941216222081,0.02654350187542,"Zimbabwe",0,0,0,0
"149","Afghanistan","South Asia",2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0,0.126,0,0.122,0.01,1.895,"Afghanistan","Afghanistan",51184.28,2167.566,131.483332413267,5.56809240856167,0.0423482756815179,"Afghanistan",0,0,0,0
