"location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"Asia",1056736,1,0.02,0
"Austria",5185,NA,0.06,NA
"Bahrain",58643,NA,3.35,NA
"Belarus",0,NA,0,NA
"Belgium",929,21,0.01,0
"Bulgaria",4608,NA,0.07,NA
"Canada",98656,1,0.26,0
"Cayman Islands",0,NA,0,NA
"Chile",8657,NA,0.05,NA
"Costa Rica",55,NA,0,NA
"Croatia",7864,NA,0.19,NA
"Czechia",11875,NA,0.11,NA
"Denmark",32605,1,0.56,0
"Estonia",2475,3,0.19,0
"Europe",500319,895,0.07,0
"European Union",434773,886,0.1,0
"France",1972,NA,0,NA
"Germany",206507,846,0.25,0
"Greece",2339,NA,0.02,NA
"High income",7083484,31885,0.58,0
"Iceland",4875,NA,1.42,NA
"Ireland",2260,15,0.05,0
"Israel",991577,1,10.67,0
"Italy",40690,NA,0.07,NA
"Latvia",2331,NA,0.12,NA
"Liechtenstein",0,NA,0,NA
"Lithuania",9755,NA,0.36,NA
"Luxembourg",1251,NA,0.2,NA
"Mexico",24998,NA,0.02,NA
"North America",5609722,30989,0.94,0.01
"Norway",2391,NA,0.04,NA
"Oman",6516,NA,0.12,NA
"Poland",47600,NA,0.13,NA
"Portugal",32749,NA,0.32,NA
"Romania",10289,NA,0.05,NA
"Russia",52000,NA,0.04,NA
"Slovenia",11489,NA,0.55,NA
"South America",8657,NA,0,NA
"Switzerland",6280,9,0.07,0
"United States",5486013,30988,1.65,0.01
"Upper middle income",91950,NA,0,NA
"World",7175434,31885,0.09,0
"Afghanistan",0,0,0,0
"Africa",0,0,0,0
"Albania",0,0,0,0
"Algeria",0,0,0,0
"Andorra",0,0,0,0
"Angola",0,0,0,0
"Anguilla",0,0,0,0
"Antigua and Barbuda",0,0,0,0
"Armenia",0,0,0,0
"Aruba",0,0,0,0
"Australia",0,0,0,0
"Azerbaijan",0,0,0,0
"Bahamas",0,0,0,0
"Bangladesh",0,0,0,0
"Barbados",0,0,0,0
"Belize",0,0,0,0
"Benin",0,0,0,0
"Bermuda",0,0,0,0
"Bhutan",0,0,0,0
"Bolivia",0,0,0,0
"Bonaire Sint Eustatius and Saba",0,0,0,0
"Bosnia and Herzegovina",0,0,0,0
"Botswana",0,0,0,0
"Brazil",0,0,0,0
"British Virgin Islands",0,0,0,0
"Brunei",0,0,0,0
"Burkina Faso",0,0,0,0
"Burundi",0,0,0,0
"Cambodia",0,0,0,0
"Cameroon",0,0,0,0
"Cape Verde",0,0,0,0
"Central African Republic",0,0,0,0
"Chad",0,0,0,0
"Colombia",0,0,0,0
"Comoros",0,0,0,0
"Congo",0,0,0,0
"Cook Islands",0,0,0,0
"Cote d'Ivoire",0,0,0,0
"Cuba",0,0,0,0
"Curacao",0,0,0,0
"Cyprus",0,0,0,0
"Democratic Republic of Congo",0,0,0,0
"Djibouti",0,0,0,0
"Dominica",0,0,0,0
"Dominican Republic",0,0,0,0
"Ecuador",0,0,0,0
"Egypt",0,0,0,0
"El Salvador",0,0,0,0
"England",0,0,0,0
"Equatorial Guinea",0,0,0,0
"Eswatini",0,0,0,0
"Ethiopia",0,0,0,0
"Faeroe Islands",0,0,0,0
"Falkland Islands",0,0,0,0
"Fiji",0,0,0,0
"French Polynesia",0,0,0,0
"Gabon",0,0,0,0
"Gambia",0,0,0,0
"Georgia",0,0,0,0
"Ghana",0,0,0,0
"Gibraltar",0,0,0,0
"Greenland",0,0,0,0
"Grenada",0,0,0,0
"Guatemala",0,0,0,0
"Guernsey",0,0,0,0
"Guinea",0,0,0,0
"Guinea-Bissau",0,0,0,0
"Guyana",0,0,0,0
"Haiti",0,0,0,0
"Honduras",0,0,0,0
"Hong Kong",0,0,0,0
"India",0,0,0,0
"Indonesia",0,0,0,0
"Iran",0,0,0,0
"Iraq",0,0,0,0
"Isle of Man",0,0,0,0
"Jamaica",0,0,0,0
"Japan",0,0,0,0
"Jersey",0,0,0,0
"Jordan",0,0,0,0
"Kazakhstan",0,0,0,0
"Kenya",0,0,0,0
"Kiribati",0,0,0,0
"Kosovo",0,0,0,0
"Kyrgyzstan",0,0,0,0
"Laos",0,0,0,0
"Lebanon",0,0,0,0
"Lesotho",0,0,0,0
"Liberia",0,0,0,0
"Libya",0,0,0,0
"Low income",0,0,0,0
"Lower middle income",0,0,0,0
"Macao",0,0,0,0
"Madagascar",0,0,0,0
"Malawi",0,0,0,0
"Malaysia",0,0,0,0
"Maldives",0,0,0,0
"Mali",0,0,0,0
"Malta",0,0,0,0
"Mauritania",0,0,0,0
"Mauritius",0,0,0,0
"Moldova",0,0,0,0
"Mongolia",0,0,0,0
"Montenegro",0,0,0,0
"Montserrat",0,0,0,0
"Morocco",0,0,0,0
"Mozambique",0,0,0,0
"Myanmar",0,0,0,0
"Namibia",0,0,0,0
"Nauru",0,0,0,0
"Nepal",0,0,0,0
"Netherlands",0,0,0,0
"New Caledonia",0,0,0,0
"New Zealand",0,0,0,0
"Nicaragua",0,0,0,0
"Niger",0,0,0,0
"Nigeria",0,0,0,0
"Niue",0,0,0,0
"North Macedonia",0,0,0,0
"Northern Cyprus",0,0,0,0
"Northern Ireland",0,0,0,0
"Oceania",0,0,0,0
"Pakistan",0,0,0,0
"Palestine",0,0,0,0
"Panama",0,0,0,0
"Papua New Guinea",0,0,0,0
"Paraguay",0,0,0,0
"Peru",0,0,0,0
"Philippines",0,0,0,0
"Pitcairn",0,0,0,0
"Rwanda",0,0,0,0
"Saint Helena",0,0,0,0
"Saint Kitts and Nevis",0,0,0,0
"Saint Lucia",0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0
"Samoa",0,0,0,0
"San Marino",0,0,0,0
"Sao Tome and Principe",0,0,0,0
"Saudi Arabia",0,0,0,0
"Scotland",0,0,0,0
"Senegal",0,0,0,0
"Serbia",0,0,0,0
"Seychelles",0,0,0,0
"Sierra Leone",0,0,0,0
"Singapore",0,0,0,0
"Sint Maarten (Dutch part)",0,0,0,0
"Slovakia",0,0,0,0
"Solomon Islands",0,0,0,0
"Somalia",0,0,0,0
"South Africa",0,0,0,0
"South Korea",0,0,0,0
"South Sudan",0,0,0,0
"Spain",0,0,0,0
"Sri Lanka",0,0,0,0
"Sudan",0,0,0,0
"Suriname",0,0,0,0
"Sweden",0,0,0,0
"Syria",0,0,0,0
"Taiwan",0,0,0,0
"Tajikistan",0,0,0,0
"Tanzania",0,0,0,0
"Thailand",0,0,0,0
"Timor",0,0,0,0
"Togo",0,0,0,0
"Tokelau",0,0,0,0
"Tonga",0,0,0,0
"Trinidad and Tobago",0,0,0,0
"Tunisia",0,0,0,0
"Turkey",0,0,0,0
"Turkmenistan",0,0,0,0
"Turks and Caicos Islands",0,0,0,0
"Tuvalu",0,0,0,0
"Uganda",0,0,0,0
"Ukraine",0,0,0,0
"United Arab Emirates",0,0,0,0
"United Kingdom",0,0,0,0
"Uruguay",0,0,0,0
"Uzbekistan",0,0,0,0
"Vanuatu",0,0,0,0
"Venezuela",0,0,0,0
"Vietnam",0,0,0,0
"Wales",0,0,0,0
"Wallis and Futuna",0,0,0,0
"Yemen",0,0,0,0
"Zambia",0,0,0,0
"Zimbabwe",0,0,0,0
